year,diyichanye
201701,24.27
201702,23.73
201703,22.43
201704,21.84
201705,20.91
201706,19.95
201707,19.77
201708,20.16
201709,20.49
201710,20.41
201711,20.17
201712,20.69
201801,20.95
201802,20.68
201803,18.1
201804,16.53
201805,15.96
201806,16.63
201807,17.35
201808,19.08
201809,19.99
201810,19.81
201811,19.3
201812,19.49
201901,18.59
201902,18.33
201903,19.48
201904,20.31
201905,20.63
201906,21.59
201907,23.65
201908,28.49
201909,35.92
201910,44.61
201911,47.09
201912,43.45
202001,46.83
202002,49.68
202003,47.79
202004,44.86
202005,40.46
202006,42.11
202007,48.05
202008,48.39
202009,47.38
202010,44.42
202011,39.43
202012,43.28
202101,46.69
202102,43.36
202103,37.39
202104,32.28
202105,27.95
202106,23.5
202107,22.29
202108,21.41
202109,19.94
202110,19.51
202111,23.98
202112,24
202201,22.26
202202,20.36
202203,18.2
202204,18.52
202205,20.68
